IDStation,NameStation,Altitude,Province,City,geometry,ARPA_zone,AGAPU_area,ISTAT_prov,ISTAT_mun,Type,Longitude,Latitude
596,Osio Sotto,182,BG,Osio Sotto,"c(9.61173782181237, 45.6205556793956)",Agg_BG,Aree urbane (significative),16,16153,SB,9.611737821812373,45.62055567939559
656,Gambara,47,BS,Gambara,"c(10.2991194960641, 45.2495436247462)",B,Aree rurali,17,17073,RB,10.299119496064078,45.24954362474624
607,Abbadia Cerreto,64,LO,Abbadia Cerreto,"c(9.58579041612041, 45.3095022692823)",B,Aree rurali,98,98001,RB,9.585790416120414,45.309502269282255
595,Filago - via Don Milani,190,BG,Filago,"c(9.55608425579086, 45.6338645090807)",Agg_BG,Aree urbane (significative),16,16098,SI,9.556084255790864,45.63386450908066
661,Rezzato,147,BS,Rezzato,"c(10.3362404229965, 45.5157082948446)",Agg_BS,Aree urbane,17,17161,SI,10.336240422996532,45.51570829484459
681,Moggio,1194,LC,Moggio,"c(9.49753816765342, 45.9127875203029)",C,Aree rurali (significative),97,97050,RB,9.497538167653424,45.91278752030292
576,Merate,279,LC,Merate,"c(9.4061909386866, 45.6979519897024)",Agg_MI,Aree urbane (significative),97,97048,UT,9.406190938686596,45.69795198970243
642,Pavia - via Folperti,77,PV,Pavia,"c(9.16463830063009, 45.1946760990779)",A,Aree urbane in contesti rurali (significative),18,18110,UB,9.164638300630086,45.19467609907785
652,Brescia - via Turati,154,BS,Brescia,"c(10.2317859074772, 45.539529434956)",Agg_BS,Aree urbane (significative),17,17029,UT,10.231785907477223,45.539529434955995
504,Sesto S.Giovanni,139,MI,Sesto San Giovanni,"c(9.23610792341164, 45.5347657650922)",Agg_MI,Aree urbane (significative),15,15209,UT,9.236107923411636,45.53476576509224
609,Casirate d`Adda,108,BG,Casirate d'Adda,"c(9.55623226235176, 45.4982271339449)",A,Aree rurali in contesti urbani,16,16059,RB,9.556232262351761,45.49822713394494
643,Pavia - p.zza Minerva,77,PV,Pavia,"c(9.14666604128678, 45.1863290804948)",A,Aree urbane in contesti rurali (significative),18,18110,UT,9.146666041286784,45.18632908049483
551,Arconate (aria),182,MI,Arconate,"c(8.84732192921626, 45.5485173574195)",A,Aree urbane,15,15007,SB,8.847321929216262,45.54851735741946
574,Lecco - Via Amendola,214,LC,Lecco,"c(9.39557706689322, 45.8501911945785)",A,Aree urbane in contesti rurali,97,97042,UT,9.395577066893223,45.850191194578535
606,S.Giuliano Milanese,97,MI,San Giuliano Milanese,"c(9.28270007555784, 45.3961946255272)",A,Aree urbane (significative),15,15195,UT,9.282700075557845,45.39619462552717
682,Ferrera Erbognone - ENI,88,PV,Ferrera Erbognone,"c(8.87406484888261, 45.1135031448296)",B,Aree rurali (significative),18,18062,RI,8.874064848882607,45.11350314482957
1274,Perledo,212,LC,Perledo,"c(9.28640920868081, 46.0158283043838)",C,Aree rurali (significative),97,97067,RB,9.286409208680807,46.01582830438376
663,Mantova - via Ariosto,18,MN,Mantova,"c(10.8033259500793, 45.145260125789)",A,Aree urbane in contesti rurali,20,20030,UI,10.80332595007927,45.14526012578896
629,Crema - via XI febbraio,79,CR,Crema,"c(9.70394551361317, 45.3663090781943)",B,Aree urbane in contesti rurali,19,19035,SB,9.703945513613167,45.366309078194334
598,S.Rocco al Porto,50,LO,San Rocco al Porto,"c(9.70078817718398, 45.0819866969786)",B,Aree rurali,98,98049,SB,9.70078817718398,45.081986696978625
679,Valmadrera,247,LC,Valmadrera,"c(9.35165816612796, 45.8422072610225)",A,Aree urbane in contesti rurali,97,97083,SB,9.351658166127958,45.842207261022544
697,Borgofranco - loc. Bonizzo,14,MN,Borgofranco sul Po,"c(11.1809358191275, 45.0465015381673)",B,Aree rurali,20,20006,SB,11.18093581912755,45.04650153816735
531,Limito,114,MI,Pioltello,"c(9.32736003321514, 45.4836303532325)",Agg_MI,Aree urbane (significative),15,15175,UB,9.327360033215145,45.48363035323249
627,Cremona - p.zza Cadorna,39,CR,Cremona,"c(10.015741513336, 45.1319469128517)",A,Aree urbane in contesti rurali (significative),19,19036,UT,10.015741513336042,45.13194691285173
572,Morbegno - via Cortivacci,262,SO,Morbegno,"c(9.56617989398447, 46.1322829600037)",D,Aree urbane in contesti rurali (significative),14,14045,UB,9.566179893984474,46.132282960003735
560,Varese - via Copelli,383,VA,Varese,"c(8.82024070715821, 45.8169732332637)",A,Aree urbane (significative),12,12133,UT,8.820240707158211,45.816973233263674
529,Cinisello Balsamo,149,MI,Cinisello Balsamo,"c(9.22776423327263, 45.5523257874121)",Agg_MI,Aree urbane (significative),15,15077,UT,9.227764233272634,45.55232578741208
1266,Bertonico,65,LO,Bertonico,"c(9.66625037529603, 45.2334936413037)",B,Aree rurali (significative),98,98002,RB,9.666250375296032,45.23349364130374
709,Vigevano - via Valletta,109,PV,Vigevano,"c(8.84480460996544, 45.3036078696557)",A,Aree urbane in contesti rurali (significative),18,18177,UB,8.844804609965438,45.303607869655714
708,Parona,112,PV,Parona,"c(8.75433459453983, 45.2819356103579)",B,Aree urbane in contesti rurali,18,18109,UI,8.754334594539825,45.281935610357905
588,Tavernola Bergamasca,191,BG,Tavernola Bergamasca,"c(10.0447659993684, 45.7162999241173)",C,Aree rurali (significative),16,16211,SI,10.044765999368437,45.71629992411727
612,Filago - via Fermi,176,BG,Filago,"c(9.55650435031822, 45.6244564811923)",Agg_BG,Aree urbane (significative),16,16098,UB,9.556504350318216,45.6244564811923
696,Monzambano - campo sportivo,88,MN,Monzambano,"c(10.6905762650721, 45.3891535402378)",B,Aree rurali,20,20036,SB,10.690576265072083,45.38915354023782
